pixel_ID,lat,lon,utm_n,utm_e,population,active
129,-23.91918388,-46.78113729,7353578.114,318706.0268,0,N
130,-23.9192974,-46.77131637,7353578.114,319706.0268,0,N
131,-23.91941028,-46.76149538,7353578.114,320706.0268,0,N
132,-23.91952254,-46.75167434,7353578.114,321706.0268,0,N
133,-23.91963417,-46.74185324,7353578.114,322706.0268,0,N
134,-23.91974518,-46.73203207,7353578.114,323706.0268,0,N
135,-23.91985556,-46.72221085,7353578.114,324706.0268,0,N
136,-23.91996531,-46.71238957,7353578.114,325706.0268,0,N
137,-23.92007444,-46.70256823,7353578.114,326706.0268,0,N
138,-23.92018293,-46.69274683,7353578.114,327706.0268,0,N
139,-23.9202908,-46.68292538,7353578.114,328706.0268,0,N
140,-23.92039805,-46.67310386,7353578.114,329706.0268,0,N
141,-23.92050466,-46.66328229,7353578.114,330706.0268,0,N
142,-23.92061065,-46.65346066,7353578.114,331706.0268,0,N
143,-23.92071601,-46.64363898,7353578.114,332706.0268,0,N
144,-23.92082075,-46.63381723,7353578.114,333706.0268,0,N
145,-23.92092486,-46.62399544,7353578.114,334706.0268,0,N
146,-23.92102834,-46.61417358,7353578.114,335706.0268,0,N
147,-23.92113119,-46.60435168,7353578.114,336706.0268,0,N
148,-23.92123342,-46.59452971,7353578.114,337706.0268,0,N
149,-23.92133502,-46.58470769,7353578.114,338706.0268,0,N
150,-23.92143599,-46.57488562,7353578.114,339706.0268,0,N
151,-23.92153633,-46.5650635,7353578.114,340706.0268,0,N
152,-23.92163605,-46.55524132,7353578.114,341706.0268,0,N
153,-23.92173514,-46.54541908,7353578.114,342706.0268,0,N
154,-23.92183361,-46.5355968,7353578.114,343706.0268,0,N
155,-23.92193144,-46.52577446,7353578.114,344706.0268,0,N
156,-23.92202865,-46.51595207,7353578.114,345706.0268,0,N
157,-23.92212523,-46.50612962,7353578.114,346706.0268,0,N
158,-23.92222118,-46.49630713,7353578.114,347706.0268,0,N
159,-23.92231651,-46.48648458,7353578.114,348706.0268,0,N
160,-23.92241121,-46.47666199,7353578.114,349706.0268,0,N
161,-23.92250528,-46.46683934,7353578.114,350706.0268,0,N
162,-23.92259873,-46.45701664,7353578.114,351706.0268,0,N
163,-23.92269154,-46.4471939,7353578.114,352706.0268,0,N
164,-23.92278373,-46.4373711,7353578.114,353706.0268,0,N
165,-23.92287529,-46.42754825,7353578.114,354706.0268,0,N
166,-23.92296623,-46.41772536,7353578.114,355706.0268,0,N
167,-23.92305654,-46.40790241,7353578.114,356706.0268,0,N
168,-23.92314622,-46.39807942,7353578.114,357706.0268,0,N
169,-23.92323527,-46.38825638,7353578.114,358706.0268,0,N
170,-23.92332369,-46.37843329,7353578.114,359706.0268,0,N
171,-23.92341149,-46.36861016,7353578.114,360706.0268,0,N
172,-23.92349866,-46.35878698,7353578.114,361706.0268,0,N
173,-23.9235852,-46.34896375,7353578.114,362706.0268,0,N
174,-23.92367112,-46.33914047,7353578.114,363706.0268,0,N
175,-23.92375641,-46.32931715,7353578.114,364706.0268,0,N
176,-23.92384107,-46.31949379,7353578.114,365706.0268,0,N
177,-23.9239251,-46.30967038,7353578.114,366706.0268,0,N
178,-23.9240085,-46.29984692,7353578.114,367706.0268,0,N
179,-23.92409128,-46.29002342,7353578.114,368706.0268,0,N
180,-23.92417343,-46.28019988,7353578.114,369706.0268,0,N
181,-23.92425495,-46.27037629,7353578.114,370706.0268,0,N
182,-23.92433585,-46.26055265,7353578.114,371706.0268,0,N
183,-23.92441611,-46.25072898,7353578.114,372706.0268,0,N
184,-23.92449575,-46.24090526,7353578.114,373706.0268,0,N
185,-23.92457476,-46.2310815,7353578.114,374706.0268,0,N
186,-23.92465315,-46.2212577,7353578.114,375706.0268,0,N
187,-23.9247309,-46.21143385,7353578.114,376706.0268,0,N
188,-23.92480803,-46.20160997,7353578.114,377706.0268,0,N
189,-23.92488453,-46.19178604,7353578.114,378706.0268,0,N
190,-23.9249604,-46.18196207,7353578.114,379706.0268,0,N
191,-23.92503565,-46.17213806,7353578.114,380706.0268,0,N
192,-23.92511027,-46.16231401,7353578.114,381706.0268,0,N
193,-23.92518426,-46.15248992,7353578.114,382706.0268,0,N
194,-23.92525762,-46.14266579,7353578.114,383706.0268,0,N
195,-23.92533035,-46.13284163,7353578.114,384706.0268,0,N
196,-23.92540246,-46.12301742,7353578.114,385706.0268,0,N
197,-23.92547394,-46.11319318,7353578.114,386706.0268,0,N
198,-23.92554479,-46.10336889,7353578.114,387706.0268,0,N
199,-23.92561501,-46.09354457,7353578.114,388706.0268,0,N
200,-23.90659285,-47.06577259,7354578.114,289706.0268,0,N
201,-23.90672448,-47.05595425,7354578.114,290706.0268,0,N
202,-23.90685548,-47.04613584,7354578.114,291706.0268,0,N
203,-23.90698586,-47.03631737,7354578.114,292706.0268,0,N
204,-23.90711562,-47.02649882,7354578.114,293706.0268,0,N
205,-23.90724474,-47.01668021,7354578.114,294706.0268,0,N
206,-23.90737325,-47.00686152,7354578.114,295706.0268,0,N
207,-23.90750112,-46.99704277,7354578.114,296706.0268,0,N
208,-23.90762837,-46.98722395,7354578.114,297706.0268,0,N
209,-23.90775499,-46.97740506,7354578.114,298706.0268,0,N
210,-23.90788099,-46.9675861,7354578.114,299706.0268,0,Y
211,-23.90800636,-46.95776708,7354578.114,300706.0268,0,N
212,-23.9081311,-46.94794799,7354578.114,301706.0268,0,N
213,-23.90825521,-46.93812883,7354578.114,302706.0268,0,N
214,-23.9083787,-46.9283096,7354578.114,303706.0268,0,N
215,-23.90850157,-46.91849031,7354578.114,304706.0268,0,N
216,-23.90862381,-46.90867096,7354578.114,305706.0268,0,N
217,-23.90874542,-46.89885153,7354578.114,306706.0268,0,N
218,-23.9088664,-46.88903205,7354578.114,307706.0268,0,N
219,-23.90898676,-46.8792125,7354578.114,308706.0268,0,N
220,-23.90910649,-46.86939288,7354578.114,309706.0268,0,N
221,-23.9092256,-46.8595732,7354578.114,310706.0268,0,N
222,-23.90934407,-46.84975346,7354578.114,311706.0268,0,N
223,-23.90946193,-46.83993365,7354578.114,312706.0268,0,N
224,-23.90957915,-46.83011378,7354578.114,313706.0268,0,N
225,-23.90969575,-46.82029385,7354578.114,314706.0268,0,N
226,-23.90981172,-46.81047385,7354578.114,315706.0268,0,N
227,-23.90992707,-46.8006538,7354578.114,316706.0268,0,N
228,-23.91004179,-46.79083368,7354578.114,317706.0268,0,N
229,-23.91015588,-46.7810135,7354578.114,318706.0268,0,N
230,-23.91026934,-46.77119326,7354578.114,319706.0268,0,N
231,-23.91038218,-46.76137296,7354578.114,320706.0268,0,N
232,-23.91049439,-46.75155259,7354578.114,321706.0268,0,N
233,-23.91060598,-46.74173217,7354578.114,322706.0268,0,N
234,-23.91071694,-46.73191169,7354578.114,323706.0268,0,N
235,-23.91082727,-46.72209115,7354578.114,324706.0268,0,N
236,-23.91093698,-46.71227055,7354578.114,325706.0268,0,N
237,-23.91104605,-46.70244989,7354578.114,326706.0268,0,N
238,-23.91115451,-46.69262918,7354578.114,327706.0268,0,N
239,-23.91126233,-46.6828084,7354578.114,328706.0268,0,N
240,-23.91136953,-46.67298757,7354578.114,329706.0268,0,N
241,-23.9114761,-46.66316668,7354578.114,330706.0268,0,N
242,-23.91158204,-46.65334573,7354578.114,331706.0268,0,N
243,-23.91168736,-46.64352473,7354578.114,332706.0268,0,N
244,-23.91179205,-46.63370367,7354578.114,333706.0268,0,N
245,-23.91189612,-46.62388255,7354578.114,334706.0268,0,N
246,-23.91199955,-46.61406138,7354578.114,335706.0268,0,N
247,-23.91210236,-46.60424016,7354578.114,336706.0268,0,N
248,-23.91220455,-46.59441888,7354578.114,337706.0268,0,N
249,-23.9123061,-46.58459754,7354578.114,338706.0268,0,N
250,-23.91240703,-46.57477615,7354578.114,339706.0268,0,N
251,-23.91250733,-46.56495471,7354578.114,340706.0268,0,N
252,-23.91260701,-46.55513321,7354578.114,341706.0268,0,N
253,-23.91270606,-46.54531166,7354578.114,342706.0268,0,N
254,-23.91280448,-46.53549005,7354578.114,343706.0268,0,N
