lat,lon,population
37.6375,-121.9791667,2
37.6375,-121.9708333,0
37.62916667,-122.4875,1009
37.62916667,-122.4791667,274
37.62916667,-122.4708333,1550
37.62916667,-122.4625,1847
37.62916667,-122.4541667,1054
37.62916667,-122.4458333,1687
37.62916667,-122.4375,622
37.62916667,-122.4291667,1466
37.62916667,-122.4208333,2340
37.62916667,-122.4125,3642
37.62916667,-122.4041667,1327
37.62916667,-122.3958333,182
37.62916667,-122.3875,20
37.62916667,-122.3791667,16
37.62916667,-122.3708333,3
37.62916667,-122.1458333,26
37.62916667,-122.1375,42
37.62916667,-122.1291667,344
37.62916667,-122.1208333,1189
37.62916667,-122.1125,894
37.62916667,-122.1041667,2176
37.62916667,-122.0958333,4505
37.62916667,-122.0875,2750
37.62916667,-122.0791667,2540
37.62916667,-122.0708333,2364
37.62916667,-122.0625,2246
37.62916667,-122.0541667,1797
37.62916667,-122.0458333,1936
37.62916667,-122.0375,778
37.62916667,-122.0291667,94
37.62916667,-122.0208333,0
37.62916667,-122.0125,1
37.62916667,-122.0041667,0
37.62916667,-121.9958333,0
37.62916667,-121.9875,0
37.62916667,-121.9791667,0
37.62916667,-121.9708333,0
37.62916667,-121.9625,3
37.62083333,-122.4791667,122
37.62083333,-122.4708333,1
37.62083333,-122.4625,8
37.62083333,-122.4541667,771
37.62083333,-122.4458333,1123
37.62083333,-122.4375,1148
37.62083333,-122.4291667,2567
37.62083333,-122.4208333,1906
37.62083333,-122.4125,3358
37.62083333,-122.4041667,1589
37.62083333,-122.3958333,246
37.62083333,-122.3875,623
37.62083333,-122.3791667,34
37.62083333,-122.3708333,19
37.62083333,-122.1541667,23
37.62083333,-122.1458333,40
37.62083333,-122.1375,57
37.62083333,-122.1291667,236
37.62083333,-122.1208333,429
37.62083333,-122.1125,741
37.62083333,-122.1041667,979
37.62083333,-122.0958333,1460
37.62083333,-122.0875,2776
37.62083333,-122.0791667,1609
37.62083333,-122.0708333,1546
37.62083333,-122.0625,1133
37.62083333,-122.0541667,1235
37.62083333,-122.0458333,1142
37.62083333,-122.0375,2079
37.62083333,-122.0291667,412
37.62083333,-122.0208333,5
37.62083333,-122.0125,0
37.62083333,-122.0041667,0
37.62083333,-121.9958333,0
37.62083333,-121.9875,0
37.62083333,-121.9791667,0
37.62083333,-121.9708333,0
37.62083333,-121.9625,0
37.62083333,-121.9541667,0
37.6125,-122.4708333,229
37.6125,-122.4625,2
37.6125,-122.4541667,38
37.6125,-122.4458333,6
37.6125,-122.4375,607
37.6125,-122.4291667,822
37.6125,-122.4208333,715
37.6125,-122.4125,1718
37.6125,-122.4041667,3405
37.6125,-122.3958333,890
37.6125,-122.3875,630
37.6125,-122.3791667,31
37.6125,-122.3625,8
37.6125,-122.1791667,10
37.6125,-122.1625,11
37.6125,-122.1541667,4
37.6125,-122.1458333,2
37.6125,-122.1375,18
37.6125,-122.1291667,7
37.6125,-122.1208333,4
37.6125,-122.1125,12
37.6125,-122.1041667,38
37.6125,-122.0958333,598
37.6125,-122.0875,451
37.6125,-122.0791667,195
37.6125,-122.0708333,421
37.6125,-122.0625,1397
37.6125,-122.0541667,1764
37.6125,-122.0458333,783
37.6125,-122.0375,1645
37.6125,-122.0291667,2072
37.6125,-122.0208333,449
37.6125,-122.0125,6
37.6125,-122.0041667,0
37.6125,-121.9958333,0
37.6125,-121.9875,0
37.6125,-121.9791667,0
37.6125,-121.9708333,0
37.6125,-121.9625,0
37.6125,-121.9541667,0
37.6125,-121.9458333,1
37.60416667,-122.4708333,1
37.60416667,-122.4625,1
37.60416667,-122.4541667,1
37.60416667,-122.4458333,6
37.60416667,-122.4375,5
37.60416667,-122.4291667,571
37.60416667,-122.4208333,1029
37.60416667,-122.4125,638
37.60416667,-122.4041667,2135
37.60416667,-122.3958333,3268
37.60416667,-122.3875,962
37.60416667,-122.3791667,619
37.60416667,-122.3708333,927
37.60416667,-122.1958333,0
37.60416667,-122.1875,0
37.60416667,-122.1458333,24
37.60416667,-122.1375,8
37.60416667,-122.1291667,1
37.60416667,-122.1208333,32
37.60416667,-122.1125,47
37.60416667,-122.1041667,7
37.60416667,-122.0958333,376
37.60416667,-122.0875,439
37.60416667,-122.0791667,1239
37.60416667,-122.0708333,2275
37.60416667,-122.0625,1388
37.60416667,-122.0541667,2176
37.60416667,-122.0458333,1342
37.60416667,-122.0375,578
37.60416667,-122.0291667,1466
37.60416667,-122.0208333,2526
37.60416667,-122.0125,503
37.60416667,-122.0041667,18
37.60416667,-121.9958333,3
37.60416667,-121.9875,1
37.60416667,-121.9791667,0
37.60416667,-121.9708333,0
37.60416667,-121.9625,0
37.60416667,-121.9541667,0
37.60416667,-121.9458333,0
37.59583333,-122.4625,589
37.59583333,-122.4541667,14
37.59583333,-122.4458333,1
37.59583333,-122.4375,0
37.59583333,-122.4291667,0
37.59583333,-122.4208333,264
37.59583333,-122.4125,1049
37.59583333,-122.4041667,1726
37.59583333,-122.3958333,1746
37.59583333,-122.3875,3664
37.59583333,-122.3791667,2284
37.59583333,-122.3708333,2571
37.59583333,-122.3625,1681
37.59583333,-122.3541667,8
37.59583333,-122.3458333,2
37.59583333,-122.3375,0
37.59583333,-122.2291667,19
37.59583333,-122.2208333,15
37.59583333,-122.2125,8
37.59583333,-122.1458333,29
37.59583333,-122.1375,16
37.59583333,-122.1291667,3
37.59583333,-122.1208333,50
37.59583333,-122.1125,51
37.59583333,-122.1041667,26
37.59583333,-122.0958333,12
37.59583333,-122.0875,825
37.59583333,-122.0791667,2969
37.59583333,-122.0708333,1923
37.59583333,-122.0625,1457
37.59583333,-122.0541667,2107
37.59583333,-122.0458333,1405
37.59583333,-122.0375,1342
37.59583333,-122.0291667,3022
37.59583333,-122.0208333,2128
37.59583333,-122.0125,1445
37.59583333,-122.0041667,1497
37.59583333,-121.9958333,148
37.59583333,-121.9875,0
37.59583333,-121.9791667,0
37.59583333,-121.9708333,0
37.59583333,-121.9625,0
37.59583333,-121.9541667,13
37.59583333,-121.9458333,5
37.59583333,-121.9375,1
37.5875,-122.4541667,8
37.5875,-122.4458333,0
37.5875,-122.4375,0
37.5875,-122.4291667,0
37.5875,-122.4208333,0
37.5875,-122.4125,367
37.5875,-122.4041667,1033
37.5875,-122.3958333,994
37.5875,-122.3875,2199
37.5875,-122.3791667,1840
37.5875,-122.3708333,2297
37.5875,-122.3625,2595
37.5875,-122.3541667,1058
37.5875,-122.3458333,2284
37.5875,-122.3375,1596
37.5875,-122.3291667,426
37.5875,-122.3208333,128
37.5875,-122.3125,45
37.5875,-122.2458333,28
37.5875,-122.1458333,29
37.5875,-122.1375,16
37.5875,-122.1291667,0
37.5875,-122.1208333,0
37.5875,-122.1125,5
37.5875,-122.1041667,0
37.5875,-122.0958333,2
37.5875,-122.0875,470
37.5875,-122.0791667,2378
37.5875,-122.0708333,2703
37.5875,-122.0625,2276
37.5875,-122.0541667,2036
37.5875,-122.0458333,2245
37.5875,-122.0375,1575
37.5875,-122.0291667,2295
37.5875,-122.0208333,4110
37.5875,-122.0125,2055
37.5875,-122.0041667,1873
37.5875,-121.9958333,640
37.5875,-121.9875,26
