lat,lon,population
-23.3875,-46.5625,0
-23.3875,-46.55416667,0
-23.3875,-46.54583333,5
-23.3875,-46.5375,6
-23.3875,-46.52916667,5
-23.3875,-46.52083333,10
-23.3875,-46.5125,8
-23.3875,-46.50416667,11
-23.3875,-46.49583333,16
-23.3875,-46.4875,14
-23.3875,-46.47916667,11
-23.3875,-46.47083333,8
-23.3875,-46.4625,59
-23.3875,-46.45416667,59
-23.3875,-46.44583333,105
-23.3875,-46.4375,3817
-23.3875,-46.42916667,558
-23.3875,-46.42083333,12
-23.3875,-46.4125,43
-23.3875,-46.40416667,1911
-23.3875,-46.39583333,777
-23.3875,-46.3875,20
-23.3875,-46.37916667,32
-23.3875,-46.37083333,39
-23.3875,-46.3625,60
-23.3875,-46.35416667,72
-23.3875,-46.34583333,72
-23.3875,-46.3375,1378
-23.3875,-46.32916667,4084
-23.3875,-46.32083333,3866
-23.3875,-46.3125,1996
-23.3875,-46.30416667,2434
-23.3875,-46.29583333,2278
-23.3875,-46.2875,153
-23.3875,-46.27916667,164
-23.3875,-46.27083333,17
-23.3875,-46.2625,14
-23.3875,-46.25416667,8
-23.3875,-46.24583333,8
-23.3875,-46.2375,39
-23.3875,-46.22916667,89
-23.3875,-46.22083333,42
-23.3875,-46.2125,5
-23.3875,-46.20416667,9
-23.3875,-46.19583333,42
-23.3875,-46.1875,46
-23.3875,-46.17916667,46
-23.3875,-46.17083333,39
-23.3875,-46.1625,17
-23.3875,-46.15416667,12
-23.3875,-46.14583333,12
-23.3875,-46.1375,7
-23.3875,-46.12916667,9
-23.3875,-46.12083333,14
-23.3875,-46.1125,134
-23.39583333,-46.97916667,7
-23.39583333,-46.97083333,64
-23.39583333,-46.9625,65
-23.39583333,-46.95416667,6
-23.39583333,-46.94583333,44
-23.39583333,-46.9375,2
-23.39583333,-46.92916667,30
-23.39583333,-46.92083333,54
-23.39583333,-46.9125,7
-23.39583333,-46.90416667,53
-23.39583333,-46.89583333,29
-23.39583333,-46.8875,64
-23.39583333,-46.87916667,403
-23.39583333,-46.87083333,57
-23.39583333,-46.8625,35
-23.39583333,-46.85416667,32
-23.39583333,-46.84583333,113
-23.39583333,-46.8375,282
-23.39583333,-46.82916667,148
-23.39583333,-46.82083333,6
-23.39583333,-46.8125,1
-23.39583333,-46.80416667,25
-23.39583333,-46.79583333,0
-23.39583333,-46.7875,4
-23.39583333,-46.77916667,6
-23.39583333,-46.77083333,0
-23.39583333,-46.7625,0
-23.39583333,-46.75416667,3989
-23.39583333,-46.74583333,1499
-23.39583333,-46.7375,75
-23.39583333,-46.72916667,63
-23.39583333,-46.72083333,2660
-23.39583333,-46.7125,4484
-23.39583333,-46.70416667,58
-23.39583333,-46.69583333,195
-23.39583333,-46.6875,29
-23.39583333,-46.67916667,29
-23.39583333,-46.67083333,31
-23.39583333,-46.6625,49
-23.39583333,-46.65416667,53
-23.39583333,-46.64583333,152
-23.39583333,-46.6375,109
-23.39583333,-46.62916667,133
-23.39583333,-46.62083333,16
-23.39583333,-46.6125,14
-23.39583333,-46.60416667,12
-23.39583333,-46.59583333,18
-23.39583333,-46.5875,55
-23.39583333,-46.57916667,200
-23.39583333,-46.57083333,51
-23.39583333,-46.5625,0
-23.39583333,-46.55416667,8
-23.39583333,-46.54583333,9
-23.39583333,-46.5375,11
-23.39583333,-46.52916667,38
-23.39583333,-46.52083333,2606
-23.39583333,-46.5125,2244
-23.39583333,-46.50416667,376
-23.39583333,-46.49583333,301
-23.39583333,-46.4875,251
-23.39583333,-46.47916667,150
-23.39583333,-46.47083333,120
-23.39583333,-46.4625,84
