pixel_ID,lat,lon,utm_n,utm_e,population
9706,37.209324046,-122.133616735,4118445.28179,576876.333318,0
9707,37.2092410859,-122.122348101,4118445.28179,577876.333318,0
9708,37.209157054,-122.111079513,4118445.28179,578876.333318,0
9709,37.2090719503,-122.099810972,4118445.28179,579876.333318,0
9710,37.2089857748,-122.088542479,4118445.28179,580876.333318,0
9711,37.2088985275,-122.077274034,4118445.28179,581876.333318,0
9712,37.2088102085,-122.066005638,4118445.28179,582876.333318,0
9713,37.2087208178,-122.054737291,4118445.28179,583876.333318,0
9714,37.2086303553,-122.043468994,4118445.28179,584876.333318,0
9715,37.2085388212,-122.032200748,4118445.28179,585876.333318,0
9716,37.2084462153,-122.020932553,4118445.28179,586876.333318,12
9717,37.2083525378,-122.009664409,4118445.28179,587876.333318,13
9718,37.2082577886,-121.998396318,4118445.28179,588876.333318,70
9719,37.2081619677,-121.98712828,4118445.28179,589876.333318,171
9720,37.2080650753,-121.975860295,4118445.28179,590876.333318,32
9721,37.2079671112,-121.964592365,4118445.28179,591876.333318,62
9722,37.2078680755,-121.953324489,4118445.28179,592876.333318,13
9723,37.2077679682,-121.942056669,4118445.28179,593876.333318,1
9724,37.2076667894,-121.930788904,4118445.28179,594876.333318,2
9725,37.207564539,-121.919521196,4118445.28179,595876.333318,6
9726,37.2074612171,-121.908253545,4118445.28179,596876.333318,17
9727,37.2073568237,-121.896985952,4118445.28179,597876.333318,2
9728,37.2072513588,-121.885718417,4118445.28179,598876.333318,56
9729,37.2071448224,-121.874450941,4118445.28179,599876.333318,393
9730,37.2070372145,-121.863183525,4118445.28179,600876.333318,1081
9731,37.2069285352,-121.851916168,4118445.28179,601876.333318,1868
9732,37.2068187845,-121.840648872,4118445.28179,602876.333318,1549
9733,37.2067079624,-121.829381638,4118445.28179,603876.333318,822
9734,37.2065960689,-121.818114465,4118445.28179,604876.333318,68
9735,37.206483104,-121.806847355,4118445.28179,605876.333318,68
9736,37.2063690677,-121.795580308,4118445.28179,606876.333318,8
9737,37.2062539601,-121.784313324,4118445.28179,607876.333318,3
9738,37.2061377812,-121.773046405,4118445.28179,608876.333318,0
9739,37.206020531,-121.76177955,4118445.28179,609876.333318,3
9740,37.2059022095,-121.750512761,4118445.28179,610876.333318,49
9741,37.2057828168,-121.739246038,4118445.28179,611876.333318,106
9742,37.2056623528,-121.727979382,4118445.28179,612876.333318,53
9743,37.2055408176,-121.716712793,4118445.28179,613876.333318,0
9744,37.2054182112,-121.705446271,4118445.28179,614876.333318,0
9745,37.2052945337,-121.694179818,4118445.28179,615876.333318,0
9746,37.2051697849,-121.682913434,4118445.28179,616876.333318,0
9747,37.2050439651,-121.67164712,4118445.28179,617876.333318,0
9748,37.2049170741,-121.660380876,4118445.28179,618876.333318,0
9749,37.204789112,-121.649114702,4118445.28179,619876.333318,0
9750,37.2046600789,-121.6378486,4118445.28179,620876.333318,0
9751,37.2045299746,-121.62658257,4118445.28179,621876.333318,0
9752,37.2043987994,-121.615316613,4118445.28179,622876.333318,0
9753,37.2042665531,-121.604050728,4118445.28179,623876.333318,0
9754,37.2041332359,-121.592784918,4118445.28179,624876.333318,0
9755,37.2039988477,-121.581519182,4118445.28179,625876.333318,0
9756,37.2038633885,-121.57025352,4118445.28179,626876.333318,0
9757,37.2037268585,-121.558987935,4118445.28179,627876.333318,0
9758,37.2035892575,-121.547722425,4118445.28179,628876.333318,0
9759,37.2034505856,-121.536456992,4118445.28179,629876.333318,0
9760,37.2033108429,-121.525191636,4118445.28179,630876.333318,0
9761,37.2031700294,-121.513926359,4118445.28179,631876.333318,0
9762,37.203028145,-121.50266116,4118445.28179,632876.333318,0
9763,37.2028851899,-121.491396039,4118445.28179,633876.333318,0
9764,37.202741164,-121.480130999,4118445.28179,634876.333318,0
9765,37.2025960673,-121.468866039,4118445.28179,635876.333318,0
9766,37.2024498999,-121.45760116,4118445.28179,636876.333318,0
9767,37.2023026619,-121.446336362,4118445.28179,637876.333318,0
9768,37.2021543532,-121.435071646,4118445.28179,638876.333318,0
9769,37.2020049738,-121.423807013,4118445.28179,639876.333318,0
9770,37.2018545238,-121.412542464,4118445.28179,640876.333318,0
9771,37.2017030033,-121.401277998,4118445.28179,641876.333318,0
9772,37.2015504121,-121.390013616,4118445.28179,642876.333318,0
9773,37.2013967504,-121.37874932,4118445.28179,643876.333318,0
9774,37.2012420182,-121.367485109,4118445.28179,644876.333318,0
9775,37.2010862156,-121.356220985,4118445.28179,645876.333318,0
9776,37.2009293424,-121.344956947,4118445.28179,646876.333318,0
9777,37.2007713988,-121.333692997,4118445.28179,647876.333318,0
9778,37.2006123848,-121.322429135,4118445.28179,648876.333318,0
9779,37.2004523004,-121.311165361,4118445.28179,649876.333318,0
9780,37.2002911456,-121.299901676,4118445.28179,650876.333318,0
