pixel_ID,lat,lon,population,cf,dir_ratio,cf_category
15904,37.59635238,-122.0611827,2328,3.193688602,1.370032758,4
15905,37.59626173,-122.0498562,2758,2.098337194,1.295654848,2
15906,37.59617,-122.0385298,1768,1.705097476,1.118014096,1
15907,37.59607718,-122.0272033,3291,2.177150923,1.014055803,2
15908,37.59598328,-122.015877,2692,2.567112054,1.282144103,3
15909,37.59588829,-122.0045507,1538,3.360943768,1.716354901,4
16016,37.60769217,-122.4235849,1157,5.574619214,1.027977294,4
16017,37.60763629,-122.4122557,1627,2.109499348,1.083781385,2
16018,37.60757933,-122.4009265,3702,1.744525415,1.206791497,1
16019,37.60752127,-122.3895974,2127,5.162134867,1.185692155,4
16047,37.60545426,-122.0723974,1749,2.701873481,1.22884296,3
16048,37.60536468,-122.0610695,2121,2.33962983,1.310891921,2
16049,37.605274,-122.0497416,2517,2.410406327,1.11758857,3
16050,37.60518224,-122.0384138,1534,1.986355621,1.476781802,2
16051,37.60508939,-122.027086,2325,2.042029615,1.049411001,2
16052,37.60499546,-122.0157583,1728,3.089878607,2.314778607,4
16159,37.61676002,-122.4348459,1558,4.091275138,1.261757822,4
16160,37.61670521,-122.4235153,2110,2.224610991,1.227588324,2
16161,37.61664931,-122.4121847,3259,1.713394716,1.09425401,1
16162,37.61659233,-122.4008542,2819,4.659888378,1.366289033,4
16189,37.61464255,-122.0949442,1274,3.441954762,1.137467042,4
16190,37.61455511,-122.0836148,1980,2.305165657,1.325233409,2
16191,37.61446658,-122.0722855,1322,5.143412977,2.15395195,4
16192,37.61437696,-122.0609562,1777,2.886181159,1.204705345,3
16193,37.61428626,-122.0496269,1947,3.039677881,1.010195479,4
16194,37.61419447,-122.0382977,2145,2.981038261,1.030412053,3
16195,37.61410159,-122.0269686,1851,3.127369329,1.105971822,4
16300,37.62593102,-122.4687737,1232,5.350581385,1.215761731,4
16301,37.62587945,-122.4574417,1405,2.412587367,1.013374673,3
16302,37.6258268,-122.4461096,1887,2.163686551,1.305843351,2
16303,37.62577306,-122.4347777,1688,4.399700611,1.214162738,4
16304,37.62571823,-122.4234457,3003,2.810618035,1.432596747,3
16305,37.62566232,-122.4121138,4540,1.593767196,1.138628274,1
16306,37.62560531,-122.4007819,1544,5.274657328,1.349022039,4
16331,37.62382658,-122.1174966,1186,1.801085052,1.061511988,1
16332,37.62374128,-122.1061657,1765,3.187886639,1.00363878,4
16333,37.6236549,-122.0948349,3972,2.035082701,1.107658147,2
16334,37.62356743,-122.0835042,3768,2.787258167,1.042127041,3
16335,37.62347888,-122.0721735,2981,2.78429315,1.193947038,3
16336,37.62338923,-122.0608428,2587,2.336880137,1.120527883,2
