pixel_ID,lat,lon,orders_total,cf,dir_ratio,cf_category
2162,-23.74200762,-46.4550004,110,1.160065571,1.001356023,1
2167,-23.74246156,-46.40595408,368,2.829155749,1.038316432,3
2168,-23.74255048,-46.39614467,795,2.670097277,1.149723086,3
2169,-23.74263878,-46.38633521,228,1.95174494,1.042032791,1
2170,-23.74272646,-46.37652571,556,1.755002233,1.009134973,1
2171,-23.74281351,-46.36671616,59,2.142727981,1.01127143,2
2221,-23.72867103,-46.85700168,359,2.219609414,1.039095323,2
2222,-23.72878851,-46.8471955,99,2.398212885,1.019520539,2
2227,-23.72936657,-46.79816365,57,2.147925376,1.007646587,2
2228,-23.72948032,-46.78835709,715,1.971444688,1.010902531,1
2229,-23.72959344,-46.77855047,60,3.931933045,1.039179337,4
2230,-23.72970595,-46.7687438,160,1.675152021,1.000032002,1
2231,-23.72981783,-46.75893706,158,3.158641152,1.006746234,4
2235,-23.73025915,-46.71970951,456,1.871700747,1.017946404,1
2236,-23.73036793,-46.70990248,2351,1.964381968,1.022840445,1
2237,-23.73047609,-46.70009538,4124,2.482193825,1.314589607,3
2238,-23.73058362,-46.69028823,3582,2.915408564,1.132560839,3
2239,-23.73069053,-46.68048103,1601,2.730806118,1.034174419,3
2240,-23.73079682,-46.67067376,306,3.624415541,1.00108352,4
2241,-23.73090249,-46.66086644,310,1.938509491,1.00036924,1
2245,-23.73131895,-46.62163659,350,2.669298083,1.002153345,3
2246,-23.73142152,-46.61182899,155,4.589775067,1.020319698,4
2247,-23.73152346,-46.60202133,230,4.711626221,1.071450572,4
2248,-23.73162477,-46.59221362,1329,3.653896138,1.114474482,4
2249,-23.73172547,-46.58240585,1482,3.480244858,1.702310696,4
2250,-23.73182555,-46.57259803,3521,2.494094837,1.526833857,3
2251,-23.731925,-46.56279016,1405,2.775420133,1.063646511,3
2252,-23.73202383,-46.55298223,3813,2.760200812,1.416507728,3
2253,-23.73212204,-46.54317425,1313,5.464233844,1.895262211,4
2254,-23.73221963,-46.53336622,1746,2.668016842,1.214049543,3
2255,-23.7323166,-46.52355814,917,4.057359838,1.317643586,4
2258,-23.73260377,-46.49413357,107,1.489735159,1.010247018,1
2259,-23.73269825,-46.48432528,170,2.00383227,1.002726953,1
2260,-23.7327921,-46.47451694,279,1.808838498,1.001930613,1
2265,-23.73325207,-46.42547449,97,2.175046081,1.350589277,2
2266,-23.73334219,-46.41566585,368,2.860684469,1.165607742,3
2267,-23.7334317,-46.40585717,150,3.643077666,1.190033249,4
2268,-23.73352058,-46.39604843,318,1.920908582,1.013254684,1
2269,-23.73360884,-46.38623965,91,3.809499369,1.003811606,4
2318,-23.71928718,-46.88628992,60,5.832003268,3.198730828,4
2320,-23.71952514,-46.86667922,260,3.300375965,1.084654844,4
2321,-23.71964319,-46.85687377,1315,2.236826552,1.250412713,2
2322,-23.71976061,-46.84706827,2795,2.483567282,1.187692793,3
2323,-23.71987742,-46.83726269,62,3.060002712,1.04836288,3
2326,-23.72022411,-46.80784561,69,2.483567282,1.187692793,3
2327,-23.72033843,-46.79803979,132,1.637880179,1.005182302,1
2328,-23.72045213,-46.7882339,266,2.201735201,1.148479774,2
2329,-23.7205652,-46.77842796,281,3.828161356,1.004559181,4
2330,-23.72067766,-46.76862196,1302,1.925164376,1.002794503,1
2331,-23.7207895,-46.7588159,608,1.593855674,1.00573957,1
2332,-23.72090071,-46.74900977,112,1.614604538,1.001668616,1
2335,-23.72123063,-46.71959105,150,4.163203568,1.00934341,4
2336,-23.72133936,-46.70978469,1308,2.509729553,1.167096914,3
2337,-23.72144747,-46.69997827,2012,2.32024518,1.4273785,2
2338,-23.72155496,-46.6901718,2935,2.286755654,1.309716245,2
2339,-23.72166183,-46.68036526,1735,2.409639441,1.08535869,2
2340,-23.72176807,-46.67055867,314,1.996354991,1.003320372,1
2344,-23.72218684,-46.63133174,158,2.90719443,1.028320675,3
2345,-23.72228998,-46.62152487,2515,1.903246559,1.117879273,1
2346,-23.7223925,-46.61171795,1550,2.299691987,1.314600709,2
2347,-23.7224944,-46.60191096,793,2.829391818,1.007487125,3
2348,-23.72259567,-46.59210393,972,2.084051629,1.239795145,2
2349,-23.72269632,-46.58229684,3664,2.262718188,1.205907664,2
2350,-23.72279636,-46.57248969,4708,2.228936411,1.561417366,2
2351,-23.72289577,-46.56268249,3894,2.248670664,1.442509344,2
2352,-23.72299456,-46.55287524,3242,4.607830417,2.005695011,4
2353,-23.72309273,-46.54306794,3992,2.747988779,1.448532644,3
2354,-23.72319027,-46.53326058,4980,3.367403373,1.70751195,4
2355,-23.7232872,-46.52345317,634,2.165922643,1.073371503,2
2359,-23.72366868,-46.48422302,262,3.616438894,1.004334329,4
2364,-23.72413156,-46.43518419,82,2.901542305,1,3
2365,-23.72422227,-46.42537628,766,2.050605381,1.132043004,2
2366,-23.72431236,-46.41556831,547,3.059363638,1.236007859,3
2367,-23.72440182,-46.4057603,346,3.043012682,1.841772477,3
2368,-23.72449067,-46.39595224,252,2.642032621,1.003663757,3
2369,-23.72457889,-46.38614414,154,5.513914737,1.001913714,4
2403,-23.70839645,-47.03322181,82,2.843530182,1,3
2420,-23.71049733,-46.8665507,145,2.724930123,1.006290197,3
2421,-23.71061533,-46.85674593,1513,1.931579072,1.155788403,1
2422,-23.71073271,-46.8469411,866,4.066263495,1.359860039,4
2423,-23.71084946,-46.8371362,149,2.625158333,1.143251433,3
2424,-23.7109656,-46.82733124,63,4.842494589,1.053538373,4
2426,-23.711196,-46.80772113,128,2.596748321,1,3
2429,-23.71153695,-46.77830551,645,2.469726417,1.013263812,3
2430,-23.71164936,-46.76850018,67,2.941185196,1,3
2433,-23.71198287,-46.73908384,99,1.82195602,1,1
2436,-23.71231078,-46.70966696,1176,3.199104073,1.899061185,4
2437,-23.71241885,-46.69986122,3343,1.752058099,1.200010579,1
2438,-23.71252629,-46.69005541,2983,2.29596863,1.322600512,2
2439,-23.71263311,-46.68024956,293,4.302766183,1.056089193,4
